,doc_id,sentence
0,0,in visions of the dark night
1,0,       i have dreamed of joy departed-
2,0,     but a waking dream of life and light
3,0,"       hath left me broken-hearted,"
4,0,     ah! what is not a dream by day
5,0,       to him whose eyes are cast
6,0,     on things around him with a ray
7,0,       turned back upon the past?
8,0,"     that holy dream- that holy dream,"
9,0,"       while all the world were chiding,"
10,0,     hath cheered me as a lovely beam
11,0,"       a lonely spirit guiding,"
12,0,"     what though that light, thro' storm and night,"
13,0,       so trembled from afar-
14,0,     what could there be more purely bright
15,0,       in truth's day-star?
16,1,take this kiss upon the brow!
17,1,"and, in parting from you now,"
18,1,thus much let me avow-
19,1,"you are not wrong, who deem"
20,1,that my days have been a dream;
21,1,yet if hope has flown away
22,1,"in a night, or in a day,"
23,1,"in a vision, or in none,"
24,1,is it therefore the less gone?
25,1,all that we see or seem
26,1,"is but a dream within a dream,"
27,1,i stand amid the roar
28,1,"of a surf-tormented shore,"
29,1,and i hold within my hand
30,1,grains of the golden sand-
31,1,how few! yet how they creep
32,1,"through my fingers to the deep,"
33,1,while i weep- while i weep!
34,1,o god! can i not grasp
35,1,them with a tighter clasp?
36,1,o god! can i not save
37,1,one from the pitiless wave?
38,1,is all that we see or seem
39,1,but a dream within a dream?
40,2,how shall the burial rite be read?
41,2,the solemn song be sung ?
42,2,"the requiem for the loveliest dead,"
43,2,that ever died so young?
44,2,"ii,"
45,2,"her friends are gazing on her,"
46,2,"and on her gaudy bier,"
47,2,and weep ! - oh! to dishonor
48,2,dead beauty with a tear!
49,2,"iii,"
50,2,they loved her for her wealth -
51,2,and they hated her for her pride -
52,2,"but she grew in feeble health,"
53,2,"and they love her - that she died,"
54,2,"iv,"
55,2,they tell me while they speak
56,2,of her costly broider'd pall
57,2,that my voice is growing weak -
58,2,that i should not sing at all -
59,2,"v,"
60,2,or that my tone should be
61,2,tun'd to such solemn song
62,2,"so mournfully - so mournfully,"
63,2,"that the dead may feel no wrong,"
64,2,"vi,"
65,2,"but she is gone above,"
66,2,"with young hope at her side,"
67,2,and i am drunk with love
68,2,"of the dead, who is my bride, -"
69,2,"vii,"
